timestamp,open,high,low,close,volume
2026-04-02T09:15:00,184.0,184.15,8.3,9.2,409500
2026-04-02T09:16:00,9.15,9.95,8.0,9.4,411720
2026-04-02T09:17:00,9.6,10.4,8.7,9.15,261620
2026-04-02T09:18:00,9.1,9.2,7.7,8.1,176100
2026-04-02T09:19:00,8.0,8.1,7.4,7.7,248220
2026-04-02T09:20:00,7.65,7.7,6.4,6.7,305580
2026-04-02T09:21:00,6.7,6.8,6.55,6.8,148160
2026-04-02T09:22:00,6.75,6.85,5.9,6.0,154320
2026-04-02T09:23:00,6.1,6.65,6.0,6.35,147620
2026-04-02T09:24:00,6.4,6.9,6.25,6.8,129040
2026-04-02T09:25:00,6.9,7.2,6.65,6.9,147280
2026-04-02T09:26:00,6.8,6.9,6.25,6.45,214180
2026-04-02T09:27:00,6.45,6.5,5.95,6.3,138600
2026-04-02T09:28:00,6.25,6.3,6.0,6.1,82200
2026-04-02T09:29:00,6.05,6.15,5.45,5.75,96960
2026-04-02T09:30:00,5.65,7.25,5.65,7.15,349580
2026-04-02T09:31:00,7.3,7.75,6.95,6.95,183600
2026-04-02T09:32:00,6.9,7.65,6.9,7.5,143580
2026-04-02T09:33:00,7.5,7.55,6.9,7.1,167340
2026-04-02T09:34:00,7.25,7.85,6.85,7.65,116600
2026-04-02T09:35:00,7.75,7.75,7.15,7.5,58640
2026-04-02T09:36:00,7.45,8.4,7.15,8.0,184100
2026-04-02T09:37:00,8.3,8.9,8.1,8.4,253780
2026-04-02T09:38:00,8.45,8.45,7.55,8.0,202560
2026-04-02T09:39:00,8.0,8.05,6.7,6.95,228000
2026-04-02T09:40:00,6.95,7.2,6.8,7.0,155940
2026-04-02T09:41:00,7.2,7.8,7.1,7.45,163080
2026-04-02T09:42:00,7.45,7.45,6.6,6.8,118480
2026-04-02T09:43:00,6.95,6.95,6.5,6.75,112200
2026-04-02T09:44:00,6.8,6.85,6.5,6.85,133260
2026-04-02T09:45:00,6.8,7.35,6.65,7.2,117400
2026-04-02T09:46:00,6.85,6.85,6.55,6.55,97460
2026-04-02T09:47:00,6.5,6.65,6.2,6.4,99760
2026-04-02T09:48:00,6.45,6.55,6.15,6.25,101480
2026-04-02T09:49:00,6.25,6.35,6.1,6.25,121100
2026-04-02T09:50:00,6.25,6.45,6.15,6.2,54440
2026-04-02T09:51:00,6.2,6.3,5.95,6.25,96020
2026-04-02T09:52:00,6.25,6.3,5.85,6.05,119980
2026-04-02T09:53:00,6.05,6.25,6.0,6.1,89280
2026-04-02T09:54:00,6.15,6.15,5.9,6.0,77800
2026-04-02T09:55:00,5.95,6.05,5.7,5.8,123500
2026-04-02T09:56:00,5.9,6.0,5.8,5.8,60080
2026-04-02T09:57:00,5.8,5.9,5.65,5.65,60660
2026-04-02T09:58:00,5.7,5.85,5.6,5.75,62640
2026-04-02T09:59:00,5.75,5.8,5.55,5.6,59980
2026-04-02T10:00:00,5.6,5.7,5.35,5.55,161800
2026-04-02T10:01:00,5.55,5.65,5.4,5.6,87700
2026-04-02T10:02:00,5.65,5.7,5.5,5.55,74800
2026-04-02T10:03:00,5.6,5.6,5.25,5.3,45440
2026-04-02T10:04:00,5.25,5.55,5.25,5.5,38600
2026-04-02T10:05:00,5.55,5.6,5.45,5.55,64360
2026-04-02T10:06:00,5.55,5.6,5.4,5.5,76840
2026-04-02T10:07:00,5.45,5.6,5.4,5.5,98280
2026-04-02T10:08:00,5.45,5.55,5.2,5.25,83600
2026-04-02T10:09:00,5.25,5.4,5.2,5.3,63180
2026-04-02T10:10:00,5.35,5.45,5.25,5.35,96120
2026-04-02T10:11:00,5.35,5.35,5.25,5.3,48240
2026-04-02T10:12:00,5.3,5.35,5.1,5.15,65340
2026-04-02T10:13:00,5.15,5.4,5.15,5.4,47680
2026-04-02T10:14:00,5.4,5.6,5.4,5.45,125420
2026-04-02T10:15:00,5.45,5.45,5.15,5.25,75260
2026-04-02T10:16:00,5.25,5.3,5.05,5.15,63140
