timestamp,open,high,low,close,volume
2026-04-02T09:15:00,35.8,75.0,25.05,74.95,2903280
2026-04-02T09:16:00,70.0,81.3,63.15,66.15,2565680
2026-04-02T09:17:00,67.3,73.5,64.2,65.7,1581880
2026-04-02T09:18:00,65.15,69.5,61.05,65.0,1244860
2026-04-02T09:19:00,66.4,73.85,65.1,72.4,1456640
2026-04-02T09:20:00,70.45,73.8,64.35,65.55,1253320
2026-04-02T09:21:00,65.95,71.75,65.0,67.8,1034080
2026-04-02T09:22:00,68.0,71.75,64.4,65.5,1168060
2026-04-02T09:23:00,65.35,65.85,54.15,61.1,1972720
2026-04-02T09:24:00,60.9,62.6,57.9,58.3,952080
2026-04-02T09:25:00,57.75,61.95,57.35,58.6,822540
2026-04-02T09:26:00,58.35,66.95,57.0,65.4,1397880
2026-04-02T09:27:00,65.05,66.25,60.65,61.4,809820
2026-04-02T09:28:00,61.35,65.05,61.35,63.9,504780
2026-04-02T09:29:00,64.45,65.2,59.05,61.55,790040
2026-04-02T09:30:00,61.3,62.15,52.05,54.7,1312460
2026-04-02T09:31:00,52.9,58.55,52.4,58.55,1129340
2026-04-02T09:32:00,59.85,60.65,56.2,59.45,920080
2026-04-02T09:33:00,59.65,62.05,58.6,59.15,841380
2026-04-02T09:34:00,59.45,59.6,52.8,53.25,855300
2026-04-02T09:35:00,53.7,56.7,53.65,55.7,478680
2026-04-02T09:36:00,57.75,58.75,46.5,48.8,1555700
2026-04-02T09:37:00,48.2,48.6,42.5,45.8,1893000
2026-04-02T09:38:00,45.15,49.95,45.15,46.85,998100
2026-04-02T09:39:00,46.5,56.5,46.2,56.1,1454340
2026-04-02T09:40:00,56.8,58.7,52.6,53.45,1126500
2026-04-02T09:41:00,50.65,50.7,45.45,48.8,1165240
2026-04-02T09:42:00,48.35,55.0,47.95,53.75,690320
2026-04-02T09:43:00,53.7,54.85,49.5,52.15,675780
2026-04-02T09:44:00,51.7,54.2,49.4,49.4,553500
2026-04-02T09:45:00,50.0,50.95,45.8,47.6,765780
2026-04-02T09:46:00,47.5,53.45,47.5,53.25,865540
2026-04-02T09:47:00,54.3,54.55,50.35,53.2,650700
2026-04-02T09:48:00,52.85,58.0,52.2,57.6,1132620
